Game_ID,Platform,Sales_Rank,Region,Region_Sales
1058,GBA,59,JP,3.15
1058,GBA,59,Other,0.35
1059,DS,60,Global,10.42
1059,DS,60,NA,5.08
1059,DS,60,EU,3.11
1059,DS,60,JP,1.25
1059,DS,60,Other,0.98
1060,Wii,61,Global,10.26
1060,Wii,61,NA,6.05
1060,Wii,61,EU,3.15
1060,Wii,61,JP,0.0
1060,Wii,61,Other,1.07
1061,X360,62,Global,10.21
1061,X360,62,NA,6.72
1061,X360,62,EU,2.63
1061,X360,62,JP,0.04
1061,X360,62,Other,0.82
1062,X360,63,Global,9.88
1062,X360,63,NA,7.03
1062,X360,63,EU,1.98
1062,X360,63,JP,0.08
1062,X360,63,Other,0.78
1063,N64,64,Global,9.87
1063,N64,64,NA,5.55
1063,N64,64,EU,1.94
1063,N64,64,JP,2.23
1063,N64,64,Other,0.15
1064,3DS,65,Global,9.82
1064,3DS,65,NA,3.66
1064,3DS,65,EU,3.07
1064,3DS,65,JP,2.47
1064,3DS,65,Other,0.63
1065,X360,66,Global,9.76
1065,X360,66,NA,6.63
1065,X360,66,EU,2.36
1065,X360,66,JP,0.04
1065,X360,66,Other,0.73
1066,PS,67,Global,9.72
1066,PS,67,NA,3.01
1066,PS,67,EU,2.47
1066,PS,67,JP,3.28
1066,PS,67,Other,0.96
1067,PS3,68,Global,9.59
1067,PS3,68,NA,4.09
1067,PS3,68,EU,3.73
1067,PS3,68,JP,0.38
1067,PS3,68,Other,1.38
1068,Wii,69,Global,9.52
1068,Wii,69,NA,5.84
1068,Wii,69,EU,2.89
1068,Wii,69,JP,0.01
1068,Wii,69,Other,0.78
1069,PS,70,Global,9.49
1069,PS,70,NA,3.88
1069,PS,70,EU,3.42
1069,PS,70,JP,1.69
1069,PS,70,Other,0.5
1070,X360,71,Global,9.32
1070,X360,71,NA,5.91
1070,X360,71,EU,2.38
1070,X360,71,JP,0.13
1070,X360,71,Other,0.9
1071,SNES,72,Global,9.3
1071,SNES,72,NA,4.36
1071,SNES,72,EU,1.71
1071,SNES,72,JP,3.0
1071,SNES,72,Other,0.23
1072,X360,73,Global,9.2
1072,X360,73,NA,5.58
1072,X360,73,EU,2.83
1072,X360,73,JP,0.02
1072,X360,73,Other,0.77
1073,3DS,74,Global,9.09
1073,3DS,74,NA,2.01
1073,3DS,74,EU,2.32
1073,3DS,74,JP,4.36
1073,3DS,74,Other,0.41
1074,DS,75,Global,9.02
1074,DS,75,NA,4.46
1074,DS,75,EU,1.88
1074,DS,75,JP,1.98
1074,DS,75,Other,0.7
1075,X360,76,Global,8.84
1075,X360,76,NA,5.03
1075,X360,76,EU,2.86
1075,X360,76,JP,0.1
1075,X360,76,Other,0.85
1076,SNES,77,Global,8.76
1076,SNES,77,NA,3.54
1076,SNES,77,EU,1.24
1076,SNES,77,JP,3.81
1076,SNES,77,Other,0.18
1077,PS4,78,Global,8.49
1077,PS4,78,NA,1.11
1077,PS4,78,EU,6.06
1077,PS4,78,JP,0.06
1077,PS4,78,Other,1.26
1078,Wii,79,Global,8.49
1078,Wii,79,NA,1.79
1078,Wii,79,EU,3.53
1078,Wii,79,JP,2.49
1078,Wii,79,Other,0.68
1079,XB,80,Global,8.49
1079,XB,80,NA,6.82
1079,XB,80,EU,1.53
1079,XB,80,JP,0.05
1079,XB,80,Other,0.08
1080,Wii,81,Global,8.42
1080,Wii,81,NA,3.81
1080,Wii,81,EU,2.3
1080,Wii,81,JP,1.58
1080,Wii,81,Other,0.73
1081,DS,82,Global,8.33
1081,DS,82,NA,2.91
1081,DS,82,EU,1.86
1081,DS,82,JP,3.14
1081,DS,82,Other,0.43
1082,PS3,83,Global,8.24
1082,PS3,83,NA,1.06
1082,PS3,83,EU,5.05
1082,PS3,83,JP,0.13
1082,PS3,83,Other,2.01
1083,PC,84,Global,8.11
1083,PC,84,NA,0.98
1083,PC,84,EU,6.42
1083,PC,84,JP,0.0
1083,PC,84,Other,0.71
1084,N64,85,Global,8.09
1084,N64,85,NA,5.8
1084,N64,85,EU,2.01
1084,N64,85,JP,0.13
1084,N64,85,Other,0.15
1085,Wii,86,Global,8.06
1085,Wii,86,NA,2.58
1085,Wii,86,EU,3.9
1085,Wii,86,JP,0.66
1085,Wii,86,Other,0.91
1086,PS2,87,Global,8.05
1086,PS2,87,NA,2.91
1086,PS2,87,EU,2.07
1086,PS2,87,JP,2.73
1086,PS2,87,Other,0.33
1087,PS,88,Global,7.86
1087,PS,88,NA,2.28
1087,PS,88,EU,1.72
1087,PS,88,JP,3.63
1087,PS,88,Other,0.23
1088,DS,89,Global,7.84
1088,DS,89,NA,2.82
1088,DS,89,EU,1.78
1088,DS,89,JP,2.69
1088,DS,89,Other,0.55
1089,2600,90,Global,7.81
1089,2600,90,NA,7.28
1089,2600,90,EU,0.45
1089,2600,90,JP,0.0
1089,2600,90,Other,0.08
1090,PSP,91,Global,7.72
1090,PSP,91,NA,2.9
1090,PSP,91,EU,2.83
1090,PSP,91,JP,0.24
1090,PSP,91,Other,1.75
1091,Wii,92,Global,7.69
1091,Wii,92,NA,3.66
1091,Wii,92,EU,2.42
1091,Wii,92,JP,0.98
1091,Wii,92,Other,0.64
1092,PS4,93,Global,7.67
1092,PS4,93,NA,2.93
1092,PS4,93,EU,3.29
1092,PS4,93,JP,0.22
1092,PS4,93,Other,1.23
1093,PS4,94,Global,7.6
1093,PS4,94,NA,2.8
1093,PS4,94,EU,3.3
1093,PS4,94,JP,0.14
1093,PS4,94,Other,1.37
1094,N64,95,Global,7.6
1094,N64,95,NA,4.1
1094,N64,95,EU,1.89
1094,N64,95,JP,1.45
1094,N64,95,Other,0.16
1095,PS,96,Global,7.58
1095,PS,96,NA,3.78
1095,PS,96,EU,2.17
1095,PS,96,JP,1.31
1095,PS,96,Other,0.31
1096,NES,97,Global,7.46
1096,NES,97,NA,5.39
1096,NES,97,EU,1.18
1096,NES,97,JP,0.7
1096,NES,97,Other,0.19
1097,3DS,98,Global,7.45
1097,3DS,98,NA,3.24
1097,3DS,98,EU,1.35
1097,3DS,98,JP,2.42
1097,3DS,98,Other,0.43
1098,X360,99,Global,7.37
1098,X360,99,NA,4.79
1098,X360,99,EU,1.9
1098,X360,99,JP,0.0
1098,X360,99,Other,0.69
1099,X360,100,Global,7.34
1099,X360,100,NA,4.46
1099,X360,100,EU,2.13
1099,X360,100,JP,0.06
1099,X360,100,Other,0.69
1100,Wii,101,Global,7.31
1100,Wii,101,NA,3.83
1100,Wii,101,EU,2.19
1100,Wii,101,JP,0.6
1100,Wii,101,Other,0.7
1101,XOne,102,Global,7.3
1101,XOne,102,NA,4.52
1101,XOne,102,EU,2.09
1101,XOne,102,JP,0.01
1101,XOne,102,Other,0.67
1102,Wii,103,Global,7.27
1102,Wii,103,NA,3.51
1102,Wii,103,EU,3.03
1102,Wii,103,JP,0.0
1102,Wii,103,Other,0.73
1103,PS3,104,Global,7.23
1103,PS3,104,NA,2.85
1103,PS3,104,EU,2.93
1103,PS3,104,JP,0.35
1103,PS3,104,Other,1.1
1104,PS2,105,Global,7.2
1104,PS2,105,NA,3.27
1104,PS2,105,EU,2.83
1104,PS2,105,JP,0.08
1104,PS2,105,Other,1.02
1105,PS,106,Global,7.16
1105,PS,106,NA,3.27
1105,PS,106,EU,2.22
1105,PS,106,JP,1.4
1105,PS,106,Other,0.29
1106,PS,107,Global,7.13
1106,PS,107,NA,3.68
1106,PS,107,EU,1.75
1106,PS,107,JP,1.42
1106,PS,107,Other,0.28
1107,GC,108,Global,7.07
1107,GC,108,NA,4.41
1107,GC,108,EU,1.04
1107,GC,108,JP,1.39
1107,GC,108,Other,0.22
1108,WiiU,109,Global,6.96
1108,WiiU,109,NA,3.13
1108,WiiU,109,EU,2.07
1108,WiiU,109,JP,1.27
1108,WiiU,109,Other,0.49
1109,PS4,110,Global,6.96
1109,PS4,110,NA,2.47
1109,PS4,110,EU,3.15
1109,PS4,110,JP,0.24
1109,PS4,110,Other,1.1
1110,GC,111,Global,6.95
1110,GC,111,NA,4.12
1110,GC,111,EU,1.77
1110,GC,111,JP,0.87
1110,GC,111,Other,0.19
1111,Wii,112,Global,6.91
1111,Wii,112,NA,4.14
1111,Wii,112,EU,2.21
1111,Wii,112,JP,0.0
1111,Wii,112,Other,0.56
1112,PS3,113,Global,6.9
1112,PS3,113,NA,0.78
1112,PS3,113,EU,4.32
1112,PS3,113,JP,0.07
1112,PS3,113,Other,1.73
1113,PS2,114,Global,6.9
1113,PS2,114,NA,2.71
1113,PS2,114,EU,3.02
1113,PS2,114,JP,0.08
1113,PS2,114,Other,1.09
1114,PS2,115,Global,6.83
1114,PS2,115,NA,2.93
1114,PS2,115,EU,2.75
1114,PS2,115,JP,0.17
1114,PS2,115,Other,0.99
1115,PS3,116,Global,6.83
1115,PS3,116,NA,2.77
1115,PS3,116,EU,2.8
1115,PS3,116,JP,0.19
1115,PS3,116,Other,1.06
1116,PS,117,Global,6.82
1116,PS,117,NA,3.23
1116,PS,117,EU,2.35
1116,PS,117,JP,0.94
1116,PS,117,Other,0.3
1117,Wii,118,Global,6.81
1117,Wii,118,NA,3.5
1117,Wii,118,EU,2.64
1117,Wii,118,JP,0.0
1117,Wii,118,Other,0.67
1118,X360,119,Global,6.76
1118,X360,119,NA,4.15
1118,X360,119,EU,1.92
1118,X360,119,JP,0.06
1118,X360,119,Other,0.64
1119,PS3,120,Global,6.73
1119,PS3,120,NA,3.27
1119,PS3,120,EU,2.25
1119,PS3,120,JP,0.21
1119,PS3,120,Other,1.0
1120,PS3,121,Global,6.72
1120,PS3,121,NA,3.1
1120,PS3,121,EU,2.3
1120,PS3,121,JP,0.28
1120,PS3,121,Other,1.04
1121,PS3,122,Global,6.69
1121,PS3,122,NA,0.84
1121,PS3,122,EU,4.32
1121,PS3,122,JP,0.11
1121,PS3,122,Other,1.42
1122,DS,123,Global,6.67
1122,DS,123,NA,1.67
1122,DS,123,EU,2.78
1122,DS,123,JP,1.6
1122,DS,123,Other,0.62
1123,PS3,124,Global,6.6
1123,PS3,124,NA,2.79
1123,PS3,124,EU,2.61
1123,PS3,124,JP,0.17
1123,PS3,124,Other,1.03
1124,PS4,125,Global,6.59
1124,PS4,125,NA,0.79
1124,PS4,125,EU,4.29
1124,PS4,125,JP,0.05
1124,PS4,125,Other,1.47
1125,Wii,126,Global,6.59
1125,Wii,126,NA,3.25
1125,Wii,126,EU,1.84
1125,Wii,126,JP,1.03
1125,Wii,126,Other,0.47
1126,PS3,127,Global,6.56
1126,PS3,127,NA,2.55
1126,PS3,127,EU,2.71
1126,PS3,127,JP,0.25
1126,PS3,127,Other,1.05
1127,NES,128,Global,6.51
1127,NES,128,NA,3.74
1127,NES,128,EU,0.93
1127,NES,128,JP,1.69
1127,NES,128,Other,0.14
1128,PS3,129,Global,6.5
1128,PS3,129,NA,2.64
1128,PS3,129,EU,2.56
1128,PS3,129,JP,0.16
1128,PS3,129,Other,1.14
1129,XB,130,Global,6.43
1129,XB,130,NA,4.98
1129,XB,130,EU,1.3
1129,XB,130,JP,0.08
1129,XB,130,Other,0.07
1130,GBA,131,Global,6.41
1130,GBA,131,NA,2.57
1130,GBA,131,EU,1.58
1130,GBA,131,JP,2.06
1130,GBA,131,Other,0.21
1131,PS2,132,Global,6.4
1131,PS2,132,NA,3.64
1131,PS2,132,EU,1.2
1131,PS2,132,JP,1.49
1131,PS2,132,Other,0.07
1132,GB,133,Global,6.39
1132,GB,133,NA,2.55
1132,GB,133,EU,1.56
1132,GB,133,JP,1.29
1132,GB,133,Other,0.99
1133,X360,134,Global,6.36
1133,X360,134,NA,4.34
1133,X360,134,EU,1.35
1133,X360,134,JP,0.06
1133,X360,134,Other,0.61
1134,X360,135,Global,6.34
1134,X360,135,NA,3.7
1134,X360,135,EU,1.97
1134,X360,135,JP,0.09
1134,X360,135,Other,0.57
1135,GC,136,Global,6.31
1135,GC,136,NA,4.01
1135,GC,136,EU,1.26
1135,GC,136,JP,0.87
1135,GC,136,Other,0.17
1136,SNES,137,Global,6.3
1136,SNES,137,NA,2.47
1136,SNES,137,EU,0.83
1136,SNES,137,JP,2.87
1136,SNES,137,Other,0.12
1137,PC,138,Global,6.28
1137,PC,138,NA,0.07
1137,PC,138,EU,6.21
1137,PC,138,JP,0.0
1137,PC,138,Other,0.0
1138,PS,139,Global,6.27
1138,PS,139,NA,3.11
1138,PS,139,EU,2.8
1138,PS,139,JP,0.02
1138,PS,139,Other,0.33
1139,X360,140,Global,6.24
1139,X360,140,NA,3.92
1139,X360,140,EU,1.78
1139,X360,140,JP,0.03
1139,X360,140,Other,0.51
1140,X360,141,Global,6.24
1140,X360,141,NA,4.05
1140,X360,141,EU,1.62
1140,X360,141,JP,0.07
1140,X360,141,Other,0.49
1141,X360,142,Global,6.11
1141,X360,142,NA,3.54
1141,X360,142,EU,1.9
1141,X360,142,JP,0.07
1141,X360,142,Other,0.6
1142,PS2,143,Global,6.05
1142,PS2,143,NA,2.45
1142,PS2,143,EU,2.01
1142,PS2,143,JP,0.87
1142,PS2,143,Other,0.72
1143,GEN,144,Global,6.03
1143,GEN,144,NA,4.47
1143,GEN,144,EU,1.2
1143,GEN,144,JP,0.16
1143,GEN,144,Other,0.19
1144,PS3,145,Global,6.03
1144,PS3,145,NA,2.63
1144,PS3,145,EU,1.74
1144,PS3,145,JP,0.83
1144,PS3,145,Other,0.83
1145,PS,146,Global,6.03
1145,PS,146,NA,3.18
1145,PS,146,EU,1.83
1145,PS,146,JP,0.78
1145,PS,146,Other,0.24
1146,PS3,147,Global,5.99
1146,PS3,147,NA,2.41
1146,PS3,147,EU,2.28
1146,PS3,147,JP,0.28
1146,PS3,147,Other,1.01
1147,PS2,148,Global,5.95
1147,PS2,148,NA,1.88
1147,PS2,148,EU,0.0
1147,PS2,148,JP,2.33
1147,PS2,148,Other,1.74
1148,PS3,149,Global,5.92
1148,PS3,149,NA,2.8
1148,PS3,149,EU,2.05
1148,PS3,149,JP,0.17
1148,PS3,149,Other,0.9
1149,DS,150,Global,5.84
1149,DS,150,NA,0.66
1149,DS,150,EU,0.69
1149,DS,150,JP,4.35
1149,DS,150,Other,0.15
1150,Wii,151,Global,5.83
1150,Wii,151,NA,3.66
1150,Wii,151,EU,1.63
1150,Wii,151,JP,0.0
1150,Wii,151,Other,0.53
1151,PS,152,Global,5.82
1151,PS,152,NA,1.88
1151,PS,152,EU,1.47
1151,PS,152,JP,2.02
1151,PS,152,Other,0.45
1152,PS,153,Global,5.74
1152,PS,153,NA,2.26
1152,PS,153,EU,1.89
1152,PS,153,JP,1.36
1152,PS,153,Other,0.23
1153,DS,154,Global,5.72
1153,DS,154,NA,3.13
1153,DS,154,EU,1.94
1153,DS,154,JP,0.07
1153,DS,154,Other,0.58
1154,PS4,155,Global,5.65
1154,PS4,155,NA,2.49
1154,PS4,155,EU,2.05
1154,PS4,155,JP,0.16
1154,PS4,155,Other,0.96
1155,NES,156,Global,5.58
1155,NES,156,NA,2.97
1155,NES,156,EU,0.69
1155,NES,156,JP,1.81
1155,NES,156,Other,0.11
1156,PS3,157,Global,5.57
1156,PS3,157,NA,2.54
1156,PS3,157,EU,1.95
1156,PS3,157,JP,0.21
1156,PS3,157,Other,0.87
1157,N64,158,Global,5.55
1157,N64,158,NA,2.95
1157,N64,158,EU,0.6
1157,N64,158,JP,1.97
1157,N64,158,Other,0.04
1158,X360,159,Global,5.55
1158,X360,159,NA,3.28
1158,X360,159,EU,1.65
1158,X360,159,JP,0.07
1158,X360,159,Other,0.55
1159,PS3,160,Global,5.53
1159,PS3,160,NA,2.7
1159,PS3,160,EU,1.91
1159,PS3,160,JP,0.11
1159,PS3,160,Other,0.8
1160,X360,161,Global,5.51
1160,X360,161,NA,2.99
1160,X360,161,EU,1.92
1160,X360,161,JP,0.1
1160,X360,161,Other,0.51
1161,PSP,162,Global,5.5
1161,PSP,162,NA,0.47
1161,PSP,162,EU,0.57
1161,PSP,162,JP,4.13
1161,PSP,162,Other,0.34
1162,GBA,163,Global,5.49
1162,GBA,163,NA,3.14
1162,GBA,163,EU,1.24
1162,GBA,163,JP,0.91
1162,GBA,163,Other,0.2
1163,GBA,164,Global,5.47
1163,GBA,164,NA,2.62
1163,GBA,164,EU,1.64
1163,GBA,164,JP,0.99
1163,GBA,164,Other,0.23
1164,GBA,165,Global,5.46
1164,GBA,165,NA,3.21
1164,GBA,165,EU,1.11
1164,GBA,165,JP,0.95
1164,GBA,165,Other,0.2
1165,N64,166,Global,5.45
1165,N64,166,NA,3.18
1165,N64,166,EU,1.24
1165,N64,166,JP,0.94
1165,N64,166,Other,0.09
1166,PS3,167,Global,5.43
1166,PS3,167,NA,2.72
1166,PS3,167,EU,1.87
1166,PS3,167,JP,0.0
1166,PS3,167,Other,0.84
1167,PS2,168,Global,5.42
1167,PS2,168,NA,2.07
1167,PS2,168,EU,2.29
1167,PS2,168,JP,0.24
1167,PS2,168,Other,0.82
1168,PS3,169,Global,5.42
1168,PS3,169,NA,1.97
1168,PS3,169,EU,2.51
1168,PS3,169,JP,0.0
1168,PS3,169,Other,0.94
1169,PS3,170,Global,5.36
1169,PS3,170,NA,1.74
1169,PS3,170,EU,1.24
1169,PS3,170,JP,1.87
1169,PS3,170,Other,0.52
1170,GB,171,Global,5.34
1170,GB,171,NA,2.18
1170,GB,171,EU,0.96
1170,GB,171,JP,2.0
1170,GB,171,Other,0.2
1171,GB,172,Global,5.31
1171,GB,172,NA,3.02
1171,GB,172,EU,1.12
1171,GB,172,JP,1.01
1171,GB,172,Other,0.16
1172,X360,173,Global,5.3
1172,X360,173,NA,3.13
1172,X360,173,EU,1.71
1172,X360,173,JP,0.03
1172,X360,173,Other,0.44
1173,PS,174,Global,5.3
1173,PS,174,NA,1.62
1173,PS,174,EU,0.77
1173,PS,174,JP,2.78
1173,PS,174,Other,0.14
1174,PS2,175,Global,5.29
1174,PS2,175,NA,1.92
1174,PS2,175,EU,1.08
1174,PS2,175,JP,2.11
1174,PS2,175,Other,0.17
1175,N64,176,Global,5.27
1175,N64,176,NA,3.33
1175,N64,176,EU,0.79
1175,N64,176,JP,1.09
1175,N64,176,Other,0.06
1176,X360,177,Global,5.27
1176,X360,177,NA,3.1
1176,X360,177,EU,1.56
1176,X360,177,JP,0.08
1176,X360,177,Other,0.51
1177,DS,178,Global,5.26
1177,DS,178,NA,1.22
1177,DS,178,EU,2.48
1177,DS,178,JP,1.03
1177,DS,178,Other,0.52
1178,PS,179,Global,5.24
1178,PS,179,NA,2.3
1178,PS,179,EU,2.46
1178,PS,179,JP,0.2
1178,PS,179,Other,0.28
1179,PS2,181,Global,5.21
1179,PS2,181,NA,0.65
1179,PS2,181,EU,0.75
